Link: #start-of-content, Text: Skip to content
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description']
['HeaderMenu-link', 'no-underline', 'px-0', 'px-lg-2', 'py-3', 'py-lg-2', 'd-block', 'd-lg-inline-block']        
['Link', 'color-fg-accent', 'text-normal', 'ml-2']
['Link--inTextBlock']
['HeaderMenu-link', 'HeaderMenu-link--sign-in', 'HeaderMenu-button', 'flex-shrink-0', 'no-underline', 'd-none', 'd-lg-inline-flex', 'border', 'border-lg-0', 'rounded', 'rounded-lg-0', 'px-2', 'py-1']
['HeaderMenu-link', 'HeaderMenu-link--sign-up', 'HeaderMenu-button', 'flex-shrink-0', 'd-flex', 'd-lg-inline-flex', 'no-underline', 'border', 'color-border-default', 'rounded', 'px-2', 'py-1']
['Link--inTextBlock']
['Link--inTextBlock']
['Link--inTextBlock']
['Link__StyledLink-sc-14289xe-0', 'evlISJ']
['Link__StyledLink-sc-14289xe-0', 'evlISJ']
['Link__StyledLink-sc-14289xe-0', 'evlISJ']
['Link__StyledLink-sc-14289xe-0', 'evlISJ']
['Link__StyledLink-sc-14289xe-0', 'evlISJ']
['Link__StyledLink-sc-14289xe-0', 'evlISJ']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'ceIFIW']
['Link__StyledLink-sc-14289xe-0', 'dIlPa']
['Link__StyledLink-sc-14289xe-0', 'cbYOAz']
['types__StyledButton-sc-ws60qy-0', 'gGdPyq']
['Link__StyledLink-sc-14289xe-0', 'dIlPa']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'cbYOAz']
['types__StyledButton-sc-ws60qy-0', 'gGdPyq']
['Link__StyledLink-sc-14289xe-0', 'dIlPa']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'cbYOAz']
['types__StyledButton-sc-ws60qy-0', 'gGdPyq']
['Link__StyledLink-sc-14289xe-0', 'dIlPa']
['Link__StyledLink-sc-14289xe-0', 'cbYOAz']
['types__StyledButton-sc-ws60qy-0', 'gGdPyq']
['Link__StyledLink-sc-14289xe-0', 'dIlPa']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'cbYOAz']
['types__StyledButton-sc-ws60qy-0', 'gGdPyq']
['Button--secondary', 'Button--small', 'Button']
['Link__StyledLink-sc-14289xe-0', 'dIlPa']
['Link__StyledLink-sc-14289xe-0', 'cbYOAz']
['types__StyledButton-sc-ws60qy-0', 'gGdPyq']
['Link__StyledLink-sc-14289xe-0', 'dIlPa']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'cbYOAz']
['types__StyledButton-sc-ws60qy-0', 'gGdPyq']
['Button--secondary', 'Button--small', 'Button']
['Link__StyledLink-sc-14289xe-0', 'dIlPa']
['Link__StyledLink-sc-14289xe-0', 'cbYOAz']
['types__StyledButton-sc-ws60qy-0', 'gGdPyq']
['Link__StyledLink-sc-14289xe-0', 'dIlPa']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'cbYOAz']
['types__StyledButton-sc-ws60qy-0', 'gGdPyq']
['Link__StyledLink-sc-14289xe-0', 'dIlPa']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'cbYOAz']
['types__StyledButton-sc-ws60qy-0', 'gGdPyq']
['Pagination__Page-sc-cp45c9-0', 'eEnDlO']
['Pagination__Page-sc-cp45c9-0', 'eEnDlO']
['Pagination__Page-sc-cp45c9-0', 'eEnDlO']
['Pagination__Page-sc-cp45c9-0', 'eEnDlO']
['Pagination__Page-sc-cp45c9-0', 'eEnDlO']
['Pagination__Page-sc-cp45c9-0', 'eEnDlO']
['Pagination__Page-sc-cp45c9-0', 'eEnDlO']
['Pagination__Page-sc-cp45c9-0', 'eEnDlO']
['Link__StyledLink-sc-14289xe-0', 'lcoFKD']
['Link__StyledLink-sc-14289xe-0', 'lcoFKD']
PS C:\Users\Sadjad Rgz\Documents\github automate> python .\main.py nik
['px-2', 'py-4', 'color-bg-accent-emphasis', 'color-fg-on-emphasis', 'show-on-focus', 'js-skip-to-content']
['mr-lg-3', 'color-fg-inherit', 'flex-order-2', 'js-prevent-focus-on-mobile-nav']
['HeaderMenu-link', 'HeaderMenu-button', 'd-inline-flex', 'd-lg-none', 'flex-order-1', 'f5', 'no-underline', 'border', 'color-border-default', 'rounded-2', 'px-2', 'py-1', 'color-fg-inherit', 'js-prevent-focus-on-mobile-nav'] 
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'Link--external']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'Link--external']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'Link--external']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'Link--external']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'Link--external']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'Link--external']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description']
['HeaderMenu-link', 'no-underline', 'px-0', 'px-lg-2', 'py-3', 'py-lg-2', 'd-block', 'd-lg-inline-block']        
['Link', 'color-fg-accent', 'text-normal', 'ml-2']
['Link--inTextBlock']
['HeaderMenu-link', 'HeaderMenu-link--sign-in', 'HeaderMenu-button', 'flex-shrink-0', 'no-underline', 'd-none', 'd-lg-inline-flex', 'border', 'border-lg-0', 'rounded', 'rounded-lg-0', 'px-2', 'py-1']
['HeaderMenu-link', 'HeaderMenu-link--sign-up', 'HeaderMenu-button', 'flex-shrink-0', 'd-flex', 'd-lg-inline-flex', 'no-underline', 'border', 'color-border-default', 'rounded', 'px-2', 'py-1']
['Link--inTextBlock']
['Link--inTextBlock']
['Link--inTextBlock']
['Link__StyledLink-sc-14289xe-0', 'evlISJ']
['Link__StyledLink-sc-14289xe-0', 'evlISJ']
['Link__StyledLink-sc-14289xe-0', 'evlISJ']
['Link__StyledLink-sc-14289xe-0', 'evlISJ']
['Link__StyledLink-sc-14289xe-0', 'evlISJ']
['Link__StyledLink-sc-14289xe-0', 'evlISJ']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
PS C:\Users\Sadjad Rgz\Documents\github automate> python .\main.py nik
['px-2', 'py-4', 'color-bg-accent-emphasis', 'color-fg-on-emphasis', 'show-on-focus', 'js-skip-to-content']
['mr-lg-3', 'color-fg-inherit', 'flex-order-2', 'js-prevent-focus-on-mobile-nav']
['HeaderMenu-link', 'HeaderMenu-button', 'd-inline-flex', 'd-lg-none', 'flex-order-1', 'f5', 'no-underline', 'border', 'color-border-default', 'rounded-2', 'px-2', 'py-1', 'color-fg-inherit', 'js-prevent-focus-on-mobile-nav'] 
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'Link--external']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'Link--external']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'Link--external']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'Link--external']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'Link--external']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'Link--external']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description']
['HeaderMenu-link', 'no-underline', 'px-0', 'px-lg-2', 'py-3', 'py-lg-2', 'd-block', 'd-lg-inline-block']        
['Link', 'color-fg-accent', 'text-normal', 'ml-2']
['Link--inTextBlock']
['HeaderMenu-link', 'HeaderMenu-link--sign-in', 'HeaderMenu-button', 'flex-shrink-0', 'no-underline', 'd-none', 'd-lg-inline-flex', 'border', 'border-lg-0', 'rounded', 'rounded-lg-0', 'px-2', 'py-1']
['HeaderMenu-link', 'HeaderMenu-link--sign-up', 'HeaderMenu-button', 'flex-shrink-0', 'd-flex', 'd-lg-inline-flex', 'no-underline', 'border', 'color-border-default', 'rounded', 'px-2', 'py-1']
['Link--inTextBlock']
['Link--inTextBlock']
['Link--inTextBlock']
['Link__StyledLink-sc-14289xe-0', 'evlISJ']
['Link__StyledLink-sc-14289xe-0', 'evlISJ']
['Link__StyledLink-sc-14289xe-0', 'evlISJ']
['Link__StyledLink-sc-14289xe-0', 'evlISJ']
['Link__StyledLink-sc-14289xe-0', 'evlISJ']
['Link__StyledLink-sc-14289xe-0', 'evlISJ']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'cRTsVN']
['Link__StyledLink-sc-14289xe-0', 'ceIFIW']
['Link__StyledLink-sc-14289xe-0', 'dIlPa']
['Link__StyledLink-sc-14289xe-0', 'cbYOAz']
['types__StyledButton-sc-ws60qy-0', 'gGdPyq']
None
['Link--inTextBlock']
['Link--secondary']
['Link__StyledLink-sc-14289xe-0', 'dIlPa']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'cbYOAz']
['types__StyledButton-sc-ws60qy-0', 'gGdPyq']
['Link__StyledLink-sc-14289xe-0', 'dIlPa']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'cbYOAz']
['types__StyledButton-sc-ws60qy-0', 'gGdPyq']
['Link__StyledLink-sc-14289xe-0', 'dIlPa']
['Link__StyledLink-sc-14289xe-0', 'cbYOAz']
['types__StyledButton-sc-ws60qy-0', 'gGdPyq']
['Link__StyledLink-sc-14289xe-0', 'dIlPa']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'cbYOAz']
['types__StyledButton-sc-ws60qy-0', 'gGdPyq']
['Button--secondary', 'Button--small', 'Button']
['Link__StyledLink-sc-14289xe-0', 'dIlPa']
['Link__StyledLink-sc-14289xe-0', 'cbYOAz']
['types__StyledButton-sc-ws60qy-0', 'gGdPyq']
['Link__StyledLink-sc-14289xe-0', 'dIlPa']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'cbYOAz']
['types__StyledButton-sc-ws60qy-0', 'gGdPyq']
['Button--secondary', 'Button--small', 'Button']
['Link__StyledLink-sc-14289xe-0', 'dIlPa']
['Link__StyledLink-sc-14289xe-0', 'cbYOAz']
['types__StyledButton-sc-ws60qy-0', 'gGdPyq']
['Link__StyledLink-sc-14289xe-0', 'dIlPa']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'cbYOAz']
['types__StyledButton-sc-ws60qy-0', 'gGdPyq']
None
None
['color-fg-default']
['color-fg-default']
['Button--secondary', 'Button--small', 'Button']
['Link--inTextBlock']
['Link--secondary']
['Link__StyledLink-sc-14289xe-0', 'dIlPa']
['Link__StyledLink-sc-14289xe-0', 'iRNOQh']
['Link__StyledLink-sc-14289xe-0', 'cbYOAz']
['types__StyledButton-sc-ws60qy-0', 'gGdPyq']
None
None
['color-fg-default']
['color-fg-default']
['Button--secondary', 'Button--small', 'Button']
['Link--inTextBlock']
['Link--secondary']
PS C:\Users\Sadjad Rgz\Documents\github automate> python .\main.py nik
['px-2', 'py-4', 'color-bg-accent-emphasis', 'color-fg-on-emphasis', 'show-on-focus', 'js-skip-to-content']
['mr-lg-3', 'color-fg-inherit', 'flex-order-2', 'js-prevent-focus-on-mobile-nav']
['HeaderMenu-link', 'HeaderMenu-button', 'd-inline-flex', 'd-lg-none', 'flex-order-1', 'f5', 'no-underline', 'border', 'color-border-default', 'rounded-2', 'px-2', 'py-1', 'color-fg-inherit', 'js-prevent-focus-on-mobile-nav'] 
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description', 'pb-lg-3']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'd-flex', 'flex-items-center', 'Link--has-description']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'Link--external']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'Link--external']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'Link--external']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'Link--external']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'Link--external']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary']
['HeaderMenu-dropdown-link', 'd-block', 'no-underline', 'position-relative', 'py-2', 'Link--secondary', 'Link--external']
